code,name,eog_score_black
190501,Chatham School of Science & Engineering,N/A
200304,Andrews Elementary,N/A
200308,Andrews High,N/A
200310,Andrews Middle,N/A
200312,Hiwassee Dam Elementary/Middle,N/A
200314,Hiwassee Dam High,N/A
600364,Military and Global Leadership Academy,28.8
200320,Martins Creek Elementary/Mid,N/A
200322,The Oaks Academy,N/A
200324,Murphy Elementary,N/A
200328,Murphy High,N/A
200330,Murphy Middle,N/A
200332,Peachtree Elementary,N/A
200336,Ranger Elementary/Middle,N/A
200350,Tri-County Early College High,N/A
210304,Chowan Middle,39.7
210306,D F Walker Elementary,42
210312,John A Holmes High,40.5
210316,White Oak Elementary,N/A
220308,Hayesville Elementary,N/A
220310,Hayesville High,N/A
220312,Hayesville Middle,N/A
230304,Bethware Elementary,42
230308,Boiling Springs Elementary,47.7
230312,Burns High,33.3
230316,Burns Middle,49.6
230320,Casar Elementary,N/A
230322,Cleveland ECHS,N/A
230324,Crest High,34.4
230328,Crest Middle,48.2
230330,Turning Point Academy,N/A
230334,East Elementary,38.1
230336,Shelby Intermediate,34.3
230340,Fallston Elementary,38.1
230342,Graham Elementary,24.1
230344,Grover Elementary,N/A
230346,James Love Elementary,41.2
230348,Jefferson Elementary,50.6
230350,Kings Mountain High,47
230351,Kings Mountain Intermediate,46.8
230352,Kings Mountain Middle,54.8
230355,Marion Elementary,58.8
230357,North Elementary,36.5
230359,North Shelby,N/A
230362,Shelby Middle,52.7
230364,Springmore Elementary,57.1
230368,Township Three Elementary,41.5
230370,Union Elementary,47.9
230376,Washington Elementary,62.8
230380,West Elementary,45.8
240304,Acme Delco Middle,30.9
240308,Acme Delco Elementary,40.2
240328,Cerro Gordo Elementary,36.6
240332,Chadbourn Elementary,45.2
600405,Harding University High,24.1
240334,East Columbus High,27.8
240344,Evergreen Elementary,40.2
240352,Guideway Elementary,56.7
240354,Hallsboro-Artesia Elementary,53.8
240356,Hallsboro Middle,39.8
240368,Nakina Middle,39.6
240370,Old Dock Elementary,N/A
240371,South Columbus High,25
240372,Tabor City Elementary,35.6
240373,CCCA - Fair Bluff /Southeastern Campuses,N/A
240376,Tabor City Middle,26
240380,West Columbus High,35.1
240388,Williams Township,28
241304,Central Middle,55.1
241308,Edgewood Elementary,46.4
241312,North Whiteville Academy,N/A
