code,name,county,city,full_address,long,lat
600515,Renaissance West STEAM Academy,Mecklenburg,Charlotte,"3241 New Renaissance Way, Charlotte, NC 28208",-80.9209172,35.2076074
600516,"Reedy Creek Elementary, Charlotte",Mecklenburg,Charlotte,"10801 Plaza Rd Ext, Charlotte, NC 28215",-80.6845056,35.2601126
600517,Reid Park Academy,Mecklenburg,Charlotte,"4108 W Tyvola Rd, Charlotte, NC 28208",-80.90523,35.204946
600518,Ridge Road Middle,Mecklenburg,Charlotte,"7260 Highland Creek Pkwy, Charlotte, NC 28269",-80.762146,35.377548
600519,"Sedgefield Elementary, Charlotte",Mecklenburg,Charlotte,"715 Hartford Ave, Charlotte, NC 28209",-80.8635861,35.1901109
600520,Sedgefield Middle,Mecklenburg,Charlotte,"2700 Dorchester Pl, Charlotte, NC 28209",-80.8562773,35.1972991
600521,"Stoney Creek Elementary, Charlotte",Mecklenburg,Charlotte,"14015 Mallard Roost Rd, Charlotte, NC 28262",-80.7251664,35.3483692
600522,Selwyn Elementary,Mecklenburg,Charlotte,"2840 Colony Rd, Charlotte, NC 28211",-80.834802,35.16777
600527,Shamrock Gardens Elementary,Mecklenburg,Charlotte,"3301 Country Club Dr, Charlotte, NC 28205",-80.788413,35.233947
600530,"Sharon Elementary, Charlotte",Mecklenburg,Charlotte,"4330 Foxcroft Rd, Charlotte, NC 28211",-80.8177954,35.1531185
600532,Waddell Language Academy,Mecklenburg,Charlotte,"7030 Nations Ford Rd, Charlotte, NC 28217",-80.8976702,35.1549965
600534,Smithfield Elementary,Mecklenburg,Charlotte,"3200 Smithfield Church Rd, Charlotte, NC 28210",-80.8513579,35.1103291
600535,South Mecklenburg High,Mecklenburg,Charlotte,"8900 Park Rd, Charlotte, NC 28210",-80.8608985,35.1101144
600537,South Charlotte Middle,Mecklenburg,Charlotte,"8040 Strawberry Ln, Charlotte, NC 28277",-80.799105,35.0906725
600538,Southwest Middle School,Mecklenburg,Charlotte,"13624 Steele Creek Rd, Charlotte, NC 28273",-80.990888,35.107166
600545,Starmount Acad of Excellence,Mecklenburg,Charlotte,"1600 Brookdale Ave, Charlotte, NC 28210",-80.870543,35.139693
600546,Statesville Road Elementary,Mecklenburg,Charlotte,"5521 Milhaven Ln, Charlotte, NC 28269",-80.8466877,35.2961147
600549,Steele Creek Elementary,Mecklenburg,Charlotte,"4100 Gallant Ln, Charlotte, NC 28273",-80.955699,35.157099
600550,Sterling Elementary,Mecklenburg,Pineville,"9601 China Grove Church Rd, Pineville, NC 28134",-80.884907,35.107476
600553,Thomasboro Academy,Mecklenburg,Charlotte,"538 Bradford Dr, Charlotte, NC 28208",-80.8987366,35.2544538
600557,Torrence Creek Elementary,Mecklenburg,Huntersville,"14550 Ranson Rd, Huntersville, NC 28078",-80.8726299,35.4121516
600558,Grand Oak Elementary,Mecklenburg,Huntersville,"15410 Stumptown Rd, Huntersville, NC 28078",-80.8719072,35.4264618
600562,Tuckaseegee Elementary,Mecklenburg,Charlotte,"2028 Little Rock Rd, Charlotte, NC 28214",-80.9419409,35.2497076
600565,University Park Creative Arts,Mecklenburg,Charlotte,"2400 Hildebrand St, Charlotte, NC 28216",-80.859141,35.2609885
600566,University Meadows Elementary,Mecklenburg,Charlotte,"1600 Pavilion Blvd, Charlotte, NC 28262",-80.714526,35.315458
600567,Charlotte Engineering Early College-UNCC,Mecklenburg,Charlotte,"9000 Robert Snyder Rd, Charlotte, NC 28262",-80.7440543,35.3089121
600569,Charlotte Teacher Early College,Mecklenburg,Charlotte,"9201 University City Blvd, Charlotte, NC 28223",-80.7353002,35.3058818
600571,Irwin Academic Center,Mecklenburg,Charlotte,"329 N. Irwin Ave, Charlotte, NC 28202",-80.8503201,35.2376813
600574,Walter G Byers School,Mecklenburg,Charlotte,"1415 Hamilton St, Charlotte, NC 28206",-80.8414549,35.2439448
600576,West Charlotte High,Mecklenburg,Charlotte,"2219 Senior Dr, Charlotte, NC 28216",-80.8597686,35.2660082
