code,name,county,city,full_address
862LEA,Mount Airy City Schools,Surry,Mount Airy,"130 Rawley Ave, Mount Airy, NC 27030"
86T000,Millennium Charter Academy,Surry,Mount Airy,"500 Old Springs Rd, Mount Airy, NC 27030"
870314,Swain County High School,Swain,Bryson City,"1415 Fontana Road, Bryson City, NC 28713"
870318,Swain County Middle School,Swain,Bryson City,"135 Arlington Ave, Bryson City, NC 28713"
870320,Swain County East Elementary,Swain,Bryson City,"4747 Ela Rd, Bryson City, NC 28713"
870324,Swain County West Elementary,Swain,Bryson City,"4142 Hwy 19 West, Bryson City, NC 28713"
870LEA,Swain County Schools,Swain,Bryson City,"280 School Drive, Bryson City, NC 28713"
87A000,Mountain Discovery,Swain,Bryson City,"890 Jenkins Branch Rd N, Bryson City, NC 28713"
880304,Brevard Elementary,Transylvania,Brevard,"399 Greenville Hwy, Brevard, NC 28712"
880308,Brevard High,Transylvania,Brevard,"609 N. Country Club Rd, Brevard, NC 28712"
880312,Brevard Middle,Transylvania,Brevard,"400 Fisher Rd, Brevard, NC 28712"
880318,Pisgah Forest Elementary,Transylvania,Brevard,"1076 Ecusta Rd, Brevard, NC 28712"
880320,Davidson River School,Transylvania,Brevard,"970 Ecusta Rd, Brevard, NC 28712"
880324,Rosman Elementary,Transylvania,Rosman,"167 Rosman School Rd, Rosman, NC 28772"
880328,Rosman High,Transylvania,Rosman,"749 Pickens Hwy, Rosman, NC 28772"
880330,Rosman Middle,Transylvania,Rosman,"2770 Old Rosman Hwy, Rosman, NC 28772"
880336,T C Henderson,Transylvania,Lake Toxaway,"11839 Rosman Hwy, Lake Toxaway, NC 28747"
880LEA,Transylvania County Schools,Transylvania,Brevard,"225 Rosenwald Ln, Brevard, NC 28712"
88A000,Brevard Academy,Transylvania,Pisgah Forest,"1110 Hendersonville Highway, Pisgah Forest, NC 28768"
890304,Columbia High,Tyrrell,Columbia,"902 Main St, Columbia, NC 27925"
890306,Columbia Middle,Tyrrell,Columbia,"920 Main Street, Columbia, NC 27925"
890308,Tyrrell Elementary,Tyrrell,Columbia,"486 Elementary School Road, Columbia, NC 27925"
890LEA,Tyrrell County Schools,Tyrrell,Columbia,"1107 Hwy 64 E, Columbia, NC 27925"
900302,Antioch Elementary,Union,Matthews,"3101 Antioch Church Road, Matthews, NC 28104"
900303,Rea View Elementary,Union,Waxhaw,"320 Reid Dairy Road, Waxhaw, NC 28173"
900304,Benton Heights Elementary,Union,Monroe,"1200 Concord Ave, Monroe, NC 28110"
900305,New Town Elementary,Union,Waxhaw,"1100 Waxhaw-Indian Tr. Rd., Waxhaw, NC 28173"
900306,"East Elementary, Monroe",Union,Monroe,"515 Elizabeth Ave, Monroe, NC 28112"
900307,"Rocky River Elementary, Monroe",Union,Monroe,"500 N. Rocky River Road, Monroe, NC 28110"
900308,East Union Middle,Union,Marshville,"6010 W Marshville Blvd, Marshville, NC 28103"
900310,Cuthbertson Middle,Union,Waxhaw,"1520 Cuthbertson Rd, Waxhaw, NC 28173"
900311,Cuthbertson High,Union,Waxhaw,"1400 Cuthbertson Rd, Waxhaw, NC 28173"
900312,"Fairview Elementary, Monroe",Union,Monroe,"110 Clontz Road, Monroe, NC 28110"
900314,Monroe Middle,Union,Monroe,"601 E Sunset Drive, Monroe, NC 28112"
900316,Forest Hills High,Union,Marshville,"100 Forest Hills School Rd, Marshville, NC 28103"
900318,Hemby Bridge Elementary,Union,Indian Trail,"6701 Indian Trl-Fairview Rd, Indian Trail, NC 28079"
900320,Indian Trail Elementary,Union,Indian Trail,"200 Education Rd, Indian Trail, NC 28079"
900328,Kensington Elementary,Union,Waxhaw,"8701 Kensington Drive, Waxhaw, NC 28173"
900332,Marshville Elementary,Union,Marshville,"515 North Elm Street, Marshville, NC 28103"
900334,Marvin Elementary,Union,Marvin,"9700 Marvin School Rd, Marvin, NC 28173"
900336,Monroe High,Union,Monroe,"1 High School Dr, Monroe, NC 28112"
900340,New Salem Elementary,Union,Marshville,"6106 Hwy 205, Marshville, NC 28103"
900341,Porter Ridge Elementary,Union,Indian Trail,"2843 Ridge Road, Indian Trail, NC 28079"
900342,Porter Ridge High School,Union,Indian Trail,"2839 Ridge Road, Indian Trail, NC 28079"
900343,Porter Ridge Middle School,Union,Indian Trail,"2827 Ridge Road, Indian Trail, NC 28079"
900344,Parkwood High,Union,Monroe,"3220 Parkwood School Rd, Monroe, NC 28112"
900346,Parkwood Middle,Union,Monroe,"3219 Parkwood School Rd, Monroe, NC 28112"
900347,Poplin Elementary,Union,Indian Trail,"5627 Poplin Rd, Indian Trail, NC 28079"
900348,Piedmont High,Union,Monroe,"3006 Sikes Mill Road, Monroe, NC 28110"
900350,Piedmont Middle,Union,Monroe,"2816 Sikes Mill Rd, Monroe, NC 28110"
900351,Rock Rest Elementary,Union,Monroe,"814 Old Pageland-Monroe Rd, Monroe, NC 28112"
900352,"Prospect Elementary, Monroe",Union,Monroe,"3005 Ruben Rd, Monroe, NC 28112"
900353,"Sandy Ridge Elementary, Waxhaw",Union,Waxhaw,"10101 Waxhaw Manor Drive, Waxhaw, NC 28173"
900354,Sardis Elementary,Union,Monroe,"4416 Sardis Church Road, Monroe, NC 28110"
900356,Shiloh Elementary,Union,Monroe,"5210 Rogers Rd, Monroe, NC 28110"
900358,Stallings Elementary,Union,Stallings,"3501 Stallings Rd, Stallings, NC 28104"
900360,Sun Valley High,Union,Monroe,"5211 Old Charlotte Hwy, Monroe, NC 28110"
900362,Sun Valley Middle,Union,Indian Trail,"1409 Wesley Chapel Rd, Indian Trail, NC 28079"
900363,Sun Valley Elementary,Union,Monroe,"5200 Rogers Rd, Monroe, NC 28110"
900364,"Union Elementary, Wingate",Union,Wingate,"5320 White Store Rd, Wingate, NC 28174"
900365,South Providence,Union,Waxhaw,"500 South Providence Street, Waxhaw, NC 28173"
900366,Central Academy of Technology and Arts,Union,Monroe,"600 Brewer Dr, Monroe, NC 28112"
900367,Union County Early College,Union,Monroe,"4209A Old Charlotte Hwy, Monroe, NC 28110"
900368,Unionville Elementary,Union,Monroe,"4511 Unionville Rd, Monroe, NC 28110"
900370,Walter Bickett Elementary,Union,Monroe,"830 South ML King Blvd, Monroe, NC 28112"
900372,Waxhaw Elementary,Union,Waxhaw,"1101 Old Providence Rd, Waxhaw, NC 28173"
900376,Weddington Elementary,Union,Matthews,"3927 Twelve Mile Creek Road, Matthews, NC 28104"
900377,Weddington High,Union,Matthews,"4901 Monroe-Weddington Road, Matthews, NC 28104"
900378,Weddington Middle,Union,Matthews,"5903 Deal Road, Matthews, NC 28104"
900380,Wesley Chapel Elementary,Union,Monroe,"110 Potter Rd S, Monroe, NC 28110"
900384,Western Union Elementary,Union,Waxhaw,"4111 Western Union Sch Rd, Waxhaw, NC 28173"
900388,Wingate Elementary,Union,Wingate,"301 Bivens Street, Wingate, NC 28174"
900391,Marvin Ridge Middle,Union,Waxhaw,"2831 Crane Road, Waxhaw, NC 28173"
900392,Wolfe School,Union,Monroe,"722 Brewer Drive, Monroe, NC 28112"
900393,Marvin Ridge High,Union,Waxhaw,"2825 Crane Road, Waxhaw, NC 28173"
900LEA,Union County Public Schools,Union,Monroe,"400 North Church Street, Monroe, NC 28112"
90A000,"Union Academy, Monroe",Union,Monroe,"675 North ML King Jr Blvd, Monroe, NC 28110"
90B000,Union Day School,Union,Waxhaw,"8120 Kensington Rd, Waxhaw, NC 28173"
90C000,Union Prep Academy at Indian Trail,Union,Indian Trail,"2324 Younts Road, Indian Trail, NC 28079"
910304,Aycock Elementary,Vance,Henderson,"305 Carey Chapel Rd, Henderson, NC 27537"
910308,"Carver Elementary, Henderson",Vance,Henderson,"987 Carver Sch Rd, Henderson, NC 27537"
910311,Clarke Elementary,Vance,Henderson,"309 Mount Carmel Church Road, Henderson, NC 27537"
910314,Dabney Elementary,Vance,Henderson,"150 Lanning Road, Henderson, NC 27537"
910316,Eaton-Johnson Middle,Vance,Henderson,"500 N Beckford Drive, Henderson, NC 27536"
910320,Henderson Middle,Vance,Henderson,"219 Charles St, Henderson, NC 27536"
910340,"New Hope Elementary, Henderson",Vance,Henderson,"10199 NC 39 Hwy N, Henderson, NC 27537"
910346,E O Young Jr Elementary,Vance,Henderson,"6655 Broad Street, Henderson, NC 27537"
910356,Pinkston Street Elementary,Vance,Henderson,"855 Adams St, Henderson, NC 27536"
910360,E M Rollins Elementary,Vance,Henderson,"1600 S Garnett St, Henderson, NC 27536"
910364,Southern Vance High,Vance,Henderson,"925 Garrett Road, Henderson, NC 27537"
910368,AdVance Academy,Vance,Henderson,"219 Charles Street, Henderson, NC 27536"
910370,Northern Vance High,Vance,Henderson,"293 Warrenton Road, Henderson, NC 27537"
910376,L B Yancey Elementary,Vance,Henderson,"311 Hawkins Drive, Henderson, NC 27536"
910380,Zeb Vance Elementary,Vance,Kittrell,"4800 Raleigh Road, Kittrell, NC 27544"
910382,Vance Co Early College,Vance,Henderson,"200 Community College Rd, Henderson, NC 27537"
910384,STEM Early High,Vance,Henderson,"925 Garrett Road, Henderson, NC 27537"
910LEA,Vance County Schools,Vance,Henderson,"1724 Graham Avenue, Henderson, NC 27536"
91A000,Vance Charter School,Vance,Henderson,"2090 Ross Mill Road, Henderson, NC 27536"
91B000,Henderson Collegiate,Vance,Henderson,"1071 Old Epsom Rd, Henderson, NC 27536"
920302,River Bend Elementary,Wake,Raleigh,"6710 Perry Creek Road, Raleigh, NC 27616"
920303,Abbotts Creek Elementary,Wake,Raleigh,"9900 Durant Road, Raleigh, NC 27614"
920304,Adams Elementary,Wake,Cary,"805 Cary Towne Blvd, Cary, NC 27511"
920306,Herbert Akins Rd Elementary,Wake,Fuquay-Varina,"2255 Herbert Akins Rd, Fuquay-Varina, NC 27526"
920307,Alston Ridge Elementary,Wake,Cary,"11555 Green Level Church Rd., Cary, NC 27519"
920308,Apex Elementary,Wake,Apex,"700 Tingen Road, Apex, NC 27502"
920312,Apex Middle,Wake,Apex,"400 East Moore Street, Apex, NC 27502"
920316,Apex High,Wake,Cary,"7600 Roberts Road, Cary, NC 27519"
920317,Apex Friendship High,Wake,Apex,"7801 Humie Olive Rd, Apex, NC 27502"
920318,Athens Drive High,Wake,Raleigh,"1420 Athens Drive, Raleigh, NC 27606"
920320,Aversboro Elementary,Wake,Garner,"1605 Aversboro Rd, Garner, NC 27529"
920324,Longview,Wake,Raleigh,"318 N King Charles Rd, Raleigh, NC 27610"
920325,Banks Road Elementary,Wake,Raleigh,"10225 Chambers Rd, Raleigh, NC 27603"
920326,Baileywick Road Elementary,Wake,Raleigh,"9425 Baileywick Road, Raleigh, NC 27615"
920327,Ballentine Elementary,Wake,Fuquay Varina,"1651 North McLaurin Lane, Fuquay Varina, NC 27526"
920328,Baucom Elementary,Wake,Apex,"400 Hunter St, Apex, NC 27502"
920329,Barwell Road Elementary,Wake,Raleigh,"3925 Barwell Road, Raleigh, NC 27610"
920332,Beaverdam Elementary,Wake,Raleigh,"3591 Tarheel Club Rd, Raleigh, NC 27604"
920334,Brassfield Elementary,Wake,Raleigh,"2001 Brassfield Rd, Raleigh, NC 27614"
920336,"Brentwood Elementary, Raleigh",Wake,Raleigh,"3426 Ingram Dr, Raleigh, NC 27604"
920340,Briarcliff Elementary,Wake,Cary,"1220 Pond St, Cary, NC 27511"
920342,"Brier Creek Elementary, Raleigh",Wake,Raleigh,"9801 Brier Creek Parkway, Raleigh, NC 27617"
920344,Brooks Elementary,Wake,Raleigh,"700 Northbrook Drive, Raleigh, NC 27609"
920348,Needham Broughton High,Wake,Raleigh,"723 Saint Mary's St, Raleigh, NC 27605"
920352,Bugg Elementary,Wake,Raleigh,"825 Cooper Rd, Raleigh, NC 27610"
920356,Carnage Middle,Wake,Raleigh,"1425 Carnage Dr, Raleigh, NC 27610"
920358,Carpenter Elementary,Wake,Cary,"2100 Morrisville Parkway, Cary, NC 27519"
920360,Carroll Middle,Wake,Raleigh,"4520 Six Forks Rd, Raleigh, NC 27609"
920362,"Carver Elementary, Wendell",Wake,Wendell,"291 Liles-Dean Rd, Wendell, NC 27591"
920364,Cary Elementary,Wake,Cary,"400 Kildaire Farm Road, Cary, NC 27511"
920368,Cary High,Wake,Cary,"638 Walnut St, Cary, NC 27511"
920369,Cedar Fork Elementary,Wake,Morrisville,"1050 Town Hall Drive, Morrisville, NC 27560"
920370,Centennial Campus Middle,Wake,Raleigh,"1900 Main Campus Drive, Raleigh, NC 27606"
920376,Combs Elementary,Wake,Raleigh,"2001 Lorimer Rd, Raleigh, NC 27606"
920380,Conn Elementary,Wake,Raleigh,"1220 Brookside Dr, Raleigh, NC 27604"
920381,Connections Academy,Wake,Cary,"1280 Buck Jones Rd, Cary, NC 27606"
