affiliate,name,CISNC_school,code,county,city,full_address,Longitude,Latitude,district,region,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
CIS of Cape Fear,Emsley A Laney High,yes,650326,New Hanover,Wilmington,"2700 N College Rd, Wilmington, NC 28405",-77.871969,34.297823,New Hanover County Schools,Southeast,N,48,B,Met,62,87.5
N/A,Margaret Willis Elementary,no,260386,Cumberland,Fayetteville,"1412 Belvedere Avenue, Fayetteville, NC 28305",-78.904391,35.071097,Cumberland County Schools,Sandhills,Y,81.5,D,Not Met,39.2,N/A
N/A,Mary McArthur Elementary,no,260396,Cumberland,Fayetteville,"3809 Village Drive, Fayetteville, NC 28304",-78.940757,35.0251178,Cumberland County Schools,Sandhills,Y,72.1,D,Not Met,41.9,N/A
N/A,Morganton Road Elementary,no,260401,Cumberland,Fayetteville,"102 Bonanza Drive, Fayetteville, NC 28303",-78.9872365,35.0796853,Cumberland County Schools,Sandhills,Y,66.8,D,Not Met,44.5,N/A
N/A,Manchester Elementary,no,260402,Cumberland,Spring Lake,"611 Spring Avenue, Spring Lake, NC 28390",-78.9669597,35.1706698,Cumberland County Schools,Sandhills,Y,73.2,D,Met,42.7,N/A
N/A,William H Owen Elementary,no,260404,Cumberland,Fayetteville,"4533 Raeford Road, Fayetteville, NC 28304",-78.9541728,35.0420546,Cumberland County Schools,Sandhills,Y,72,D,Not Met,46.7,N/A
N/A,Lake Rim Elementary,no,260407,Cumberland,Fayetteville,"1455 Hoke Loop Road, Fayetteville, NC 28314",-79.0765981,35.0494197,Cumberland County Schools,Sandhills,Y,50,D,Not Met,45.8,N/A
N/A,Benjamin J Martin Elementary,no,260414,Cumberland,Fayetteville,"430 N Reilly Road, Fayetteville, NC 28303",-79.0094964,35.0929339,Cumberland County Schools,Sandhills,Y,68.8,D,Not Met,47.7,N/A
N/A,Reid Ross Classical Middle,no,260419,Cumberland,Fayetteville,"3200 Ramsey Street, Fayetteville, NC 28301",-78.8759571,35.1016501,Cumberland County Schools,Sandhills,N,77.3,D,Not Met,49.2,N/A
N/A,South View Middle,no,260425,Cumberland,Hope Mills,"4100 Elk Road, Hope Mills, NC 28348",-78.9299734,34.9807669,Cumberland County Schools,Sandhills,Y,60.3,D,Not Met,40.4,N/A
N/A,Sherwood Park Elementary,no,260426,Cumberland,Fayetteville,"2115 Hope Mills Road, Fayetteville, NC 28304",-78.9623206,35.0179162,Cumberland County Schools,Sandhills,Y,74.1,D,Met,38.3,N/A
N/A,Spring Lake Middle,no,260428,Cumberland,Spring Lake,"612 Spring Avenue, Spring Lake, NC 28390",-78.965325,35.168865,Cumberland County Schools,Sandhills,Y,72.7,D,Not Met,37.6,N/A
