district_from_state,code,name_from_state,region,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
Burke County Schools,120386,W A Young Elementary,Northwest,Y,64.5,C,Met,48.8,
Burke County Schools,120390,Walter R Johnson Middle,Northwest,,81.5,C,Met,54,
Cabarrus County Schools,130304,A T Allen Elementary,Southwest,Y,58.1,C,Exceeded,61.6,
Cabarrus County Schools,130307,Cox Mill High School,Southwest,,10.3,A,Exceeded,79.8,93.7
Cabarrus County Schools,130308,Bethel Elementary,Southwest,Y,43.4,C,Exceeded,60.9,
Cabarrus County Schools,130309,Beverly Hills Elementary,Southwest,Y,31.2,C,Exceeded,59.7,
Cabarrus County Schools,130310,Central Cabarrus High,Southwest,,43.7,B,Exceeded,58.3,87.4
Cabarrus County Schools,130311,Coltrane-Webb Elementary,Southwest,Y,47.1,C,Met,62.3,
Cabarrus County Schools,130312,Harrisburg Elementary,Southwest,,9.5,B,Met,77.9,
Charlotte-Mecklenburg Schools,600459,Montclaire Elementary,Southwest,Y,43.5,D,Met,34.8,
Cabarrus County Schools,130314,Concord High,Southwest,,51.3,B,Exceeded,55,83.1
Cabarrus County Schools,130315,J N Fries Magnet School,Southwest,,35.1,B,Met,76.4,
Cabarrus County Schools,130316,Jay M Robinson High,Southwest,,46.6,C,Not Met,49.4,81.9
Cabarrus County Schools,130317,Cabarrus Co Opportunity School,Southwest,,55,ALT,,,
Cabarrus County Schools,130318,C C Griffin Middle,Southwest,,50.7,C,Exceeded,55.8,
Cabarrus County Schools,130319,Cox Mill Elementary,Southwest,,6.1,A,Exceeded,85.9,
Cabarrus County Schools,130320,Harris Road Middle,Southwest,,13.7,A,Exceeded,81.4,
Cabarrus County Schools,130321,Carl A Furr Elementary,Southwest,Y,53.3,C,Exceeded,63.6,
Cabarrus County Schools,130322,Mount Pleasant Elementary,Southwest,,37.4,B,Exceeded,64,
Cabarrus County Schools,130323,Mount Pleasant Middle,Southwest,,34,B,Exceeded,67.3,
Cabarrus County Schools,130324,Mount Pleasant High,Southwest,,28.3,C,Not Met,55.2,87.2
Cabarrus County Schools,130325,Charles E Boger Elementary,Southwest,,40.3,B,Exceeded,64.8,
Cabarrus County Schools,130326,Northwest Cabarrus High,Southwest,,38.9,B,Exceeded,69.6,92.3
Cabarrus County Schools,130327,Northwest Cabarrus Middle,Southwest,,52.5,C,Exceeded,57.9,
Kannapolis City Schools,132336,Woodrow Wilson Elementary,Southwest,Y,43.5,D,Met,45.2,
Tyrrell County Schools,890306,Columbia Middle,Northeast,Y,43.5,D,Met,37,
Cabarrus County Schools,130330,R Brown McAllister Elementary,Southwest,Y,39.2,B,Exceeded,65.1,
Cabarrus County Schools,130331,Pitts School Road Elementary,Southwest,,31.5,C,Met,64.3,
Cabarrus County Schools,130332,Hickory Ridge High,Southwest,,16,B,Met,70.8,>95
Cabarrus County Schools,130333,Performance Learning Center,Southwest,,39.6,ALT,,,
Cabarrus County Schools,130336,W R Odell Primary,Southwest,,11.6,A,,,
Cabarrus County Schools,130337,W R Odell Elementary,Southwest,,12.2,A,Exceeded,81.7,
Cabarrus County Schools,130338,Weddington Hills Elementary,Southwest,Y,53.4,B,Exceeded,64.1,
Cabarrus County Schools,130340,Winecoff Elementary,Southwest,Y,43.6,D,Met,45.2,
Cabarrus County Schools,130342,W M Irvin Elementary,Southwest,Y,49.9,C,Exceeded,41.8,
Cabarrus County Schools,130344,Wolf Meadow Elementary,Southwest,Y,54.5,C,Exceeded,50,
Cabarrus County Schools,130345,Patriots Elementary,Southwest,,24.1,B,Exceeded,72.3,
Cabarrus County Schools,130346,Hickory Ridge Middle,Southwest,,18.9,A,Exceeded,81.6,
Cabarrus County Schools,130349,Cabarrus Early College of Technology,Southwest,,41.1,B,Met,81.2,
Cabarrus County Schools,130350,Cabarrus-Kannapolis Early Coll,Southwest,,36.6,A,Met,89.3,94.1
Cabarrus County Schools,130355,Harold E. Winkler Middle,Southwest,,49,B,Exceeded,67,
Kannapolis City Schools,132304,A L Brown High,Southwest,,32.6,C,Not Met,35.3,81.6
Kannapolis City Schools,132308,Forest Park Elementary,Southwest,Y,41.7,C,Met,57.2,
Kannapolis City Schools,132312,Fred L Wilson Elementary,Southwest,Y,45.7,C,Met,48.7,
Charlotte-Mecklenburg Schools,600362,David Cox Road Elementary,Southwest,Y,44,D,Not Met,40.2,
Kannapolis City Schools,132328,Jackson Park Elementary,Southwest,Y,40.8,C,Exceeded,48.1,
Tyrrell County Schools,890308,Tyrrell Elementary,Northeast,Y,44.6,D,Met,42,
Kannapolis City Schools,132332,Shady Brook Elementary,Southwest,Y,49.2,C,Met,45.7,
Forsyth County Schools,340460,North Forsyth High,Piedmont-Triad,Y,44.7,D,Not Met,27.3,78.5
Caldwell County Schools,140304,Baton Elementary,Northwest,Y,60.2,C,Not Met,65,
Caldwell County Schools,140305,Caldwell Career Cen Mid. Coll.,Northwest,,43.1,A,Met,78.4,>95
Caldwell County Schools,140306,Gateway School,Northwest,Y,63.9,ALT,,,
Caldwell County Schools,140307,Horizons Elementary,Northwest,Y,60.5,ALT,,,
Caldwell County Schools,140308,Collettsville School,Northwest,Y,62.2,B,Met,68.4,
Caldwell County Schools,140309,Caldwell Early College,Northwest,,32.2,A,Exceeded,93.2,>95
Caldwell County Schools,140312,Davenport A+ School,Northwest,Y,77.2,C,Met,55,
Caldwell County Schools,140316,Dudley Shoals Elementary,Northwest,Y,61.9,C,Met,59.1,
Caldwell County Schools,140324,Gamewell Elementary,Northwest,Y,48.2,C,Met,51,
Caldwell County Schools,140332,Gamewell Middle,Northwest,Y,77.3,C,Met,47,
Caldwell County Schools,140336,Granite Falls Middle,Northwest,Y,42.3,C,Not Met,59.9,
Caldwell County Schools,140340,Granite Falls Elementary,Northwest,Y,45.5,C,Not Met,69.2,
Caldwell County Schools,140344,Happy Valley Elementary,Northwest,Y,61.8,C,Met,55.1,
Caldwell County Schools,140348,Hibriten High,Northwest,,47.6,B,Met,57.7,84.5
Caldwell County Schools,140352,Hudson Elementary,Northwest,Y,61.9,B,Exceeded,65.6,
Caldwell County Schools,140356,Hudson Middle,Northwest,Y,53.6,C,Met,62.5,
Caldwell County Schools,140360,Kings Creek Elementary,Northwest,Y,64.7,C,Not Met,62.4,
Caldwell County Schools,140368,William Lenoir Middle,Northwest,Y,57.5,C,Met,56.4,
Caldwell County Schools,140372,Lower Creek Elementary,Northwest,Y,43.9,B,Met,67.9,
Caldwell County Schools,140376,Oak Hill Elementary,Northwest,Y,67.5,C,Met,56.7,
Caldwell County Schools,140384,Sawmills Elementary,Northwest,Y,58.2,C,Met,64,
Caldwell County Schools,140386,South Caldwell High,Northwest,,42.3,C,Not Met,57.7,88
Johnston County Schools,510412,Clayton Middle,North Central,,44.8,D,Met,44.3,
Caldwell County Schools,140390,West Caldwell High,Northwest,,67.8,C,Met,39.5,85.6
Charlotte-Mecklenburg Schools,600432,Joseph W Grier Academy,Southwest,Y,44.9,D,Not Met,50.4,
Caldwell County Schools,140396,Whitnel Elementary,Northwest,Y,50.8,C,Met,47.3,
Camden County Schools,150304,Camden County High,Northeast,,20.9,B,Met,58,90.6
Camden County Schools,150308,Grandy Primary,Northeast,Y,23.7,B,Met,86.5,
Camden County Schools,150310,Camden Intermediate,Northeast,Y,21.3,C,Not Met,67.5,
Camden County Schools,150312,Camden Middle,Northeast,,25.4,B,Met,65.1,
Camden County Schools,150350,Camden Early College High,Northeast,,15.2,B,Met,78.8,
Carteret County Public Schools,160304,Atlantic Elementary,Southeast,Y,78.6,B,Met,70,
Carteret County Public Schools,160306,Bogue Sound Elementary,Southeast,Y,60.6,B,Met,69.3,
Carteret County Public Schools,160308,Beaufort Elementary,Southeast,Y,71.3,B,Met,67.5,
Carteret County Public Schools,160309,Bridges School,Southeast,,87.5,ALT,,,
Carteret County Public Schools,160310,Beaufort Middle,Southeast,,67,B,Exceeded,66,
Carteret County Public Schools,160311,Broad Creek Middle,Southeast,,41.4,B,Exceeded,76.5,
Carteret County Public Schools,160313,East Carteret High,Southeast,,59.8,A,Exceeded,75,85.4
Carteret County Public Schools,160314,Croatan High,Southeast,,33.1,A,Exceeded,75.5,90.4
Carteret County Public Schools,160316,Harkers Island Elementary,Southeast,Y,67.7,B,Exceeded,82.6,
Carteret County Public Schools,160317,Morehead Elem at Camp Glenn,Southeast,Y,58.3,B,Met,69,
Carteret County Public Schools,160318,Morehead City Middle,Southeast,,52.1,B,Exceeded,72.4,
Carteret County Public Schools,160322,Morehead City Primary,Southeast,Y,59.6,B,Exceeded,78.6,
Carteret County Public Schools,160324,Newport Elementary,Southeast,Y,72.7,C,Not Met,60.8,
Carteret County Public Schools,160326,Newport Middle,Southeast,,64.5,B,Exceeded,73.9,
Carteret County Public Schools,160332,Down East Middle and Smyrna Elementary,Southeast,Y,71.1,C,Not Met,65.5,
