code,name,eog_score_EDS
290366,Southwood Elementary,39.1
290367,South Davidson Middle,43.1
290375,Tyro Elementary,45.7
290376,Tyro Middle,48.9
290380,Wallburg Elementary,61.9
290384,Welcome Elementary,44
290389,Yadkin Valley Regional Career Academy,81.1
291308,Charles England Elementary School,37.9
291332,Lexington Middle School,38.9
291336,Lexington Senior High School,27.1
291340,Pickett Elementary School,49.3
291348,South Lexington School,N/A
291350,South Lexington Developmental Center,N/A
291352,Southwest Elementary School,46.4
292316,Liberty Drive Elementary,26.5
292318,Thomasville Primary,47.3
292320,Thomasville Middle,29.1
292324,Thomasville High,36
295300,Southside Ashpole Elementary,19
298202,Eastern NC School for the Deaf,N/A
298203,Gov. Morehead School f/t Blind,N/A
298204,NC School for the Deaf,N/A
300306,Central Davie Academy,N/A
300308,Cooleemee Elementary,51.1
300310,Cornatzer Elementary,52.4
300312,Davie County High,40.9
300314,Davie County Early College High,90.7
300320,Mocksville Elementary,43.1
300325,North Davie Middle,59.7
300326,Pinebrook Elementary,41.8
300328,Shady Grove Elementary,53
300330,South Davie Middle,50.3
300336,William R Davie Elementary,45.5
300337,William Ellis Middle,51.1
310304,B F Grady Elementary,38.7
310308,Beulaville Elementary,44.6
310330,Chinquapin Elementary,52
310336,Warsaw Elementary,32.2
310338,Duplin Early College High,71.2
310344,East Duplin High,44.7
200314,Hiwassee Dam High,53.3
220310,Hayesville High,39.8
310352,James Kenan High,24.8
310356,Kenansville Elementary,43.3
310360,North Duplin Elementary,48.9
310364,North Duplin Jr Sr High,54.1
310384,Rose Hill-Magnolia Elementary,37.9
310388,Wallace Elementary,36.6
310392,Wallace-Rose Hill High,29.7
320304,Bethesda Elementary,32.4
320306,Brogden Middle,30.1
320308,Burton Elementary,48.6
320309,J D Clement Early College HS,>95
320310,Eastway Elementary,24.2
230361,Shelby High,24.6
240334,East Columbus High,30.4
320313,Easley Elementary,45.1
320314,The School for Creative Studies,36.8
320315,Eno Valley Elementary,31.8
320316,George L Carrington Middle,35.6
320317,City of Medicine Academy,80.9
320318,Club Boulevard Elementary,39
320319,Creekside Elementary,32.2
320320,Glenn Elementary,27.1
320322,Durham's Performance Learning Center,N/A
320323,Durham School of the Arts,61.4
320324,Hillandale Elementary,37.8
320325,Hillside High,30.1
320327,Hope Valley Elementary,46.4
320328,Holt Elementary,41.1
320329,Holton Career and Resource Center,N/A
320332,Forest View Elementary,36
320336,DPS Hospital School,N/A
320338,James E Shepard Middle,30.5
320339,Lakewood Elementary,38.3
320340,Little River K-8 School,47.2
320341,Lakeview School,N/A
320342,Lakewood Montessori Middle,42.9
320343,Lucas Middle,33.2
320344,Fayetteville Street Elementary,23.8
320346,Lowe's Grove Middle,33.2
320347,George Watts Elementary,36.3
320348,Mangum Elementary,61
320352,Merrick-Moore Elementary,30.7
320353,Middle College HS @ DTCC,N/A
320354,Morehead Montessori,43.3
320355,Neal Middle,32.7
320360,Oak Grove Elementary,38.8
320362,Parkwood Elementary,30.4
320363,E K Powe Elementary,21.9
320364,Pearsontown Elementary,50.8
320366,Sherwood Githens Middle,32.1
320367,R N Harris Elementary,41.6
260322,Douglas Byrd High,25.7
320369,Sandy Ridge Elementary,39.8
320370,Rogers-Herr Middle,45.3
320372,Southwest Elementary,38.1
320374,C C Spaulding Elementary,22.5
320376,Spring Valley Elementary,35.5
320388,W G Pearson Elementary,32.3
320400,Y E Smith Elementary,29.4
320701,Hillside New Tech High,32.1
330304,G W Bulluck Elementary,37.1
330308,G W Carver Elementary,39.8
330312,Coker-Wimberly Elementary,28.5
330326,Edgecombe Early College High,N/A
330328,North Edgecombe High,29
330332,Phillips Middle,15.7
330334,Princeville Elementary,32.6
330340,South Edgecombe Middle,27.5
330344,W A Pattillo Middle,25.5
330348,West Edgecombe Middle,38.3
330354,Stocks Elementary,21.8
260446,Terry Sanford High,31.3
330360,Martin Millennium Academy,34.8
340308,Ashley Academy,16.8
340311,Atkins Academic & Tech High,66.9
340314,Bolton Elementary,32.4
340320,Brunson Elementary,30.2
340326,Caleb's Creek Elementary,54.4
340332,Career Center,N/A
340334,Cash Elementary,54.7
340336,Carter High School,N/A
340344,Childrens Center,N/A
340348,Clemmons Elementary,72.6
340350,Clemmons Middle School,49.4
340351,Cook Literacy Model School,26.8
340354,The Downtown School,58.3
340362,Early College of Forsyth Co,N/A
340366,East Forsyth Middle School,23.8
340368,Easton Elementary School,18.9
340372,Flat Rock Middle,36.8
340376,Forest Park Elementary,24.6
340380,Gibson Elementary,40.8
290365,South Davidson High,33
290388,West Davidson High,38.9
340384,Griffith Elementary,34.2
340385,Main Street Academy,N/A
340390,Hall-Woodward Elementary,31.6
340392,Hanes Magnet School,38
340398,Homebound/ Hospital Education,N/A
340400,Ibraham Elementary,16
340403,Jefferson Elementary,56.9
340406,Thomas Jefferson Middle,48.7
340416,Kernersville Elementary,55.3
340420,Kernersville Middle,53.1
340424,Kimberley Park Elementary,11.6
340426,Kimmel Farm Elementary,47.3
340427,Kingswood School,N/A
340428,Konnoak Elementary,37.2
340430,Diggs-Latham Elementary,29
340432,Lewisville Elementary,70.3
340436,Lowrance Middle,N/A
340440,Meadowlark Elementary,73.8
340442,Meadowlark Middle,64.5
340446,Middle College of Forsyth Cnty,N/A
340448,Mineral Springs Elementary,44.3
340452,Mineral Springs Middle,29
340453,Moore Magnet Elementary,35.1
340454,Mount Tabor High School,28.7
340457,Frank Morgan Elementary,58
340462,North Hills Elementary,29.2
340464,Northwest Middle,33.1
340472,Old Richmond Elementary,56.4
340476,Old Town Elementary,25
340480,Paisley IB Magnet School,37.2
340488,J F Kennedy High,33.3
340490,Petree Elementary,15.1
340492,Philo-Hill Magnet Academy,13.6
340494,Piney Grove Elementary,47.6
340495,Ronald W Reagan High School,55.3
340496,R J Reynolds High,37.9
320312,C E Jordan High,23.5
340504,Rural Hall Elementary,42
340508,Sedge Garden Elementary,50.8
340512,Sherwood Forest Elementary,58.8
340514,Smith Farm Elementary,24.5
340516,Southeast Middle,41.7
340520,South Fork Elementary,48.8
340528,Southwest Elementary,59.1
340530,Speas Elementary,38.4
340531,The Special Children's School,N/A
340532,Union Cross Traditional Acad,39.8
340536,Vienna Elementary,62.5
340540,Walkertown Elementary,44
340542,Walkertown High,40.9
340544,Walkertown Middle,42.6
340548,Ward Elementary,37.3
340556,West Forsyth High,45.8
340560,Whitaker Elementary,63.1
340564,Wiley Magnet Middle,31
340568,Winston-Salem Preparatory Acad,14.2
350304,Bunn Elementary,56.6
350308,Bunn High,51.3
320356,Northern High,23.4
350310,Bunn Middle,47.3
350312,Cedar Creek Middle,39.6
350316,Edward Best Elementary,58.2
350317,Franklin County Early College,81.1
350318,Franklinton Elementary,44.4
350321,Franklinton High,41.5
350324,Franklinton Middle,39.5
350330,Laurel Mill Elementary,52.7
350331,Long Mill Elementary,59
350332,Louisburg Elementary,45
320365,Riverside High,32.8
350336,Louisburg High,37.7
350338,Terrell Lane Middle,48
350339,Royal Elementary,42.8
350340,Youngsville Elementary,56.8
360310,Ashbrook High,47.6
360320,Belmont Central Elementary,56.8
360324,Belmont Middle,52.1
360332,Bessemer City Central Elem,24.9
320368,Southern School of Energy and Sustainabi,27.3
360337,Gaston Early College High School,>95
360338,Bessemer City Primary,N/A
360339,W B Beam Intermediate School,40.7
360340,Brookside Elementary,35
360344,Carr Elementary,48.7
360348,Catawba Heights Elementary,48.7
360352,Chapel Grove Elementary,40
360360,Cherryville High,58.2
360364,Cherryville Elementary,72.4
360372,Warlick Academy,N/A
360376,Costner Elementary,46.1
360378,Stuart W Cramer High,51.7
330350,SouthWest Edgecombe High,25.9
360380,Cramerton Middle,67
