code,name,eog_score_white
230320,Casar Elementary,69.6
230322,Cleveland ECHS,94
230324,Crest High,57.9
230328,Crest Middle,74.3
230330,Turning Point Academy,N/A
230334,East Elementary,63.6
230336,Shelby Intermediate,60.8
230340,Fallston Elementary,67.4
230342,Graham Elementary,N/A
230344,Grover Elementary,69.3
230346,James Love Elementary,59.1
230348,Jefferson Elementary,78.3
230350,Kings Mountain High,68.1
230351,Kings Mountain Intermediate,68.2
230352,Kings Mountain Middle,71.6
230355,Marion Elementary,75
230357,North Elementary,58.6
230359,North Shelby,N/A
230361,Shelby High,58.5
230362,Shelby Middle,76.4
230364,Springmore Elementary,76.4
230368,Township Three Elementary,58.6
230370,Union Elementary,56.6
230376,Washington Elementary,73.4
230380,West Elementary,84.7
240304,Acme Delco Middle,62.8
240308,Acme Delco Elementary,56.7
240328,Cerro Gordo Elementary,66.8
240332,Chadbourn Elementary,54.2
240344,Evergreen Elementary,49.6
240352,Guideway Elementary,85
240354,Hallsboro-Artesia Elementary,66.7
240356,Hallsboro Middle,66.4
240368,Nakina Middle,73.9
240370,Old Dock Elementary,70.6
240371,South Columbus High,49.4
240372,Tabor City Elementary,58.9
240373,CCCA - Fair Bluff /Southeastern Campuses,69.3
240376,Tabor City Middle,42.4
240380,West Columbus High,71.6
240388,Williams Township,55.5
241304,Central Middle,80.1
241308,Edgewood Elementary,70.6
241312,North Whiteville Academy,N/A
241316,Whiteville High,69.4
241320,Whiteville Primary,N/A
250304,Albert H Bangert Elementary,88.8
250306,Ben D Quinn Elementary,72.1
250308,Bridgeton Elementary,52.9
250312,Brinson Memorial Elementary,62.2
250314,Craven Early College High,88.5
250316,Creekside Elementary,82.6
250320,Vanceboro-Farm Life Elementary,51.6
250321,Early College EAST High,88.7
250324,Grover C Fields Middle,67.9
250328,Graham A Barden Elementary,74.2
250332,H J MacDonald Middle,64.6
250336,Havelock Elementary,67.2
250340,Havelock High,72.7
250344,Havelock Middle,53.9
250348,J T Barber Elementary,N/A
250350,James W Smith Elementary,69.6
250356,New Bern High,67.7
250360,Oaks Road Academy,43.2
250362,Roger Bell New Tech Academy,47.4
250364,Trent Park Elementary,60.6
250368,Tucker Creek Middle,71.2
250372,West Craven High,52.1
250376,West Craven Middle,51.4
250378,W Jesse Gurganus Elementary,81
250380,Arthur W Edwards Elementary,62.6
260302,Alma O Easom Elementary,N/A
260306,Armstrong Elementary,78.1
260308,Ashley Elementary,64.9
260310,Loyd E Auman Elementary,54
260312,Beaver Dam Elementary,87.9
260316,Lillian Black Elementary,65.2
260318,Jack Britt High,74.8
260320,Brentwood Elementary,65
260321,Douglas Byrd Middle,38.6
260322,Douglas Byrd High,41.7
260325,Cape Fear High,67
260326,Elizabeth M Cashwell Elementary,59.2
260332,Eastover-Central Elementary,79
260336,Anne Chesnutt Middle,52.6
260338,Cliffdale Elementary,60
260340,College Lakes Elementary,62.5
260342,C Wayne Collier Elementary,53
260344,J W Coon Elementary,67.3
260347,Cumberland International Early College,N/A
260348,Cumberland Mills Elementary,64.7
260352,Cumberland Road Elementary,56
260354,Cross Creek Early College,>95
260356,District No 7 Elementary,74.7
260357,Grays Creek High,63.7
260358,Luther Nick Jeralds Middle,50
260359,E E Smith High,58.8
260361,Ferguson-Easley Elementary,N/A
260362,Grays Creek Middle,64.7
260363,Glendale Acres Elementary,N/A
260364,Alderman Road Elementary,62.5
260365,R Max Abbott Middle,70.5
260366,Howard L Hall Elementary,77.1
260367,Bill Hefner Elementary,63.2
260368,Hope Mills Middle,56.5
260369,John R Griffin Middle,78.6
260370,Ed V Baldwin Elementary,62.8
260371,Ireland Drive Middle,51.9
260372,Lewis Chapel Middle,48.2
260373,Gallberry Farm Elementary,67.4
260374,Alger B. Wilkins High School,N/A
260375,Grays Creek Elementary,70.7
260380,Long Hill Elementary,75.8
260382,Lucile Souders Elementary,70.5
260383,Mac Williams Middle,64.7
260386,Margaret Willis Elementary,N/A
260388,Massey Hill Classical High,82.1
260396,Mary McArthur Elementary,51.9
260397,E Melvin Honeycutt Elementary,71.5
260398,E E Miller Elementary,75
260400,Montclair Elementary,56.1
260401,Morganton Road Elementary,50
260402,Manchester Elementary,47.7
260403,New Century International Elementary,76.3
260404,William H Owen Elementary,66
260405,Walker-Spivey Elementary,N/A
260406,Pine Forest Middle,69.5
260407,Lake Rim Elementary,60.5
260408,Pine Forest High,74.9
260410,Ponderosa Elementary,63
260411,Reid Ross Classical High,N/A
260412,Raleigh Road Elementary,N/A
260413,Howard Learning Academy,N/A
260414,Benjamin J Martin Elementary,62.5
260415,Rockfish Elementary,79.1
260416,J W Seabrook Elementary,73.4
260417,New Century International Middle,73.7
260418,Seventy-First Classical Middle,76.1
260419,Reid Ross Classical Middle,56.3
260424,Seventy-First High,56.4
260425,South View Middle,50.4
260426,Sherwood Park Elementary,51.3
260427,South View High,66
260428,Spring Lake Middle,52.8
260430,Stedman Elementary,80.4
260432,Stedman Primary,N/A
260434,Stoney Point Elementary,79.2
260440,Sunnyside Elementary,69.4
260444,Teresa C Berrien Elementary,N/A
260446,Terry Sanford High,63.8
260448,Vanstory Hills Elementary,84.4
260449,Ramsey Street High,N/A
260450,Warrenwood Elementary,83.3
260452,Westarea Elementary,N/A
260454,Westover Middle,57.5
260455,Westover High,55.6
260459,William T Brown Elementary,69.4
260700,Cumberland Polytechnic,>95
270304,Central Elementary,60
270306,Currituck County High,54.2
270308,Currituck County Middle,52.9
270309,Jarvisburg Elementary,68.4
270310,Shawboro Elementary School,63.4
270311,The JP Knapp ECH (i)School,94.3
270312,Knotts Island Elementary,72.6
270316,Moyock Elementary,67.5
270318,Moyock Middle,63.1
270320,W T Griggs Elementary,66.4
280302,Cape Hatteras Elementary School,75.2
280304,Cape Hatteras Secondary School,69.6
280306,Dare Learning Academy,N/A
280308,Kitty Hawk Elementary School,83.8
280310,Nags Head Elementary School,80.8
280312,Manteo Elementary School,66.7
280316,Manteo High School,77.4
280320,Manteo Middle School,65.6
280324,First Flight Elementary School,78.2
280328,First Flight Middle School,68.3
280330,First Flight High School,69.6
290302,Brier Creek Elementary,70.4
290306,Northwest Elementary,76.6
290307,Southmont Elementary,56.1
290308,Central Davidson High,54.4
290309,Central Davidson Middle,62.5
290310,Stoner-Thomas School,N/A
290312,Churchland Elementary,59.6
290314,Davidson County High School,N/A
290315,Davidson Early College,93
290316,Davis-Townsend Elementary,68.6
290320,Denton Elementary,60.1
290322,E Lawson Brown Middle,56.7
290324,East Davidson High,61.6
290328,Fair Grove Elementary,50.5
290330,Friedberg Elementary,77.1
290332,Hasty Elementary,67
290333,Friendship Elementary,80.4
290334,Ledford Middle,69.4
290336,Ledford Senior High,65.3
290344,Midway Elementary,69.3
290348,North Davidson High,65.4
290349,Oak Grove High,69
290350,North Davidson Middle,72.2
290351,Oak Grove Middle,73
290352,Pilot Elementary,52
290356,Reeds Elementary,60.4
290364,Silver Valley Elementary,51.7
290365,South Davidson High,39.9
290366,Southwood Elementary,50.7
290367,South Davidson Middle,53.5
290375,Tyro Elementary,56.1
290376,Tyro Middle,60.6
290380,Wallburg Elementary,76.4
290384,Welcome Elementary,57.9
290388,West Davidson High,50.6
290389,Yadkin Valley Regional Career Academy,89
291308,Charles England Elementary School,50.9
291332,Lexington Middle School,47.7
291336,Lexington Senior High School,45.9
291340,Pickett Elementary School,66.4
291348,South Lexington School,N/A
291350,South Lexington Developmental Center,N/A
291352,Southwest Elementary School,50
292316,Liberty Drive Elementary,32.5
292318,Thomasville Primary,56.9
292320,Thomasville Middle,38.9
292324,Thomasville High,38.7
295300,Southside Ashpole Elementary,N/A
298202,Eastern NC School for the Deaf,N/A
298203,Gov. Morehead School f/t Blind,N/A
298204,NC School for the Deaf,N/A
300306,Central Davie Academy,N/A
300308,Cooleemee Elementary,62.7
300310,Cornatzer Elementary,68.9
300312,Davie County High,61.8
300314,Davie County Early College High,88.7
300320,Mocksville Elementary,60.5
300325,North Davie Middle,76.6
300326,Pinebrook Elementary,68.2
300328,Shady Grove Elementary,76
300330,South Davie Middle,63.8
300336,William R Davie Elementary,60.2
300337,William Ellis Middle,74.9
310304,B F Grady Elementary,59.1
