code,name,eog_score_latino
210316,White Oak Elementary,N/A
220308,Hayesville Elementary,50
220310,Hayesville High,N/A
220312,Hayesville Middle,52.8
230304,Bethware Elementary,N/A
230308,Boiling Springs Elementary,N/A
230312,Burns High,N/A
230316,Burns Middle,70.7
230320,Casar Elementary,N/A
230322,Cleveland ECHS,N/A
600386,Hawthorne Academy of Health Sciences,48.3
230328,Crest Middle,60
230330,Turning Point Academy,N/A
230334,East Elementary,N/A
230336,Shelby Intermediate,48.3
230340,Fallston Elementary,40
230342,Graham Elementary,N/A
230344,Grover Elementary,N/A
230346,James Love Elementary,N/A
230348,Jefferson Elementary,N/A
230350,Kings Mountain High,N/A
230351,Kings Mountain Intermediate,62.8
230352,Kings Mountain Middle,69.2
230355,Marion Elementary,N/A
230357,North Elementary,N/A
230359,North Shelby,N/A
230361,Shelby High,N/A
230362,Shelby Middle,57.1
230364,Springmore Elementary,50
230368,Township Three Elementary,45.8
230370,Union Elementary,N/A
230376,Washington Elementary,63.8
230380,West Elementary,N/A
240304,Acme Delco Middle,47.6
240308,Acme Delco Elementary,47.1
240328,Cerro Gordo Elementary,55.6
240332,Chadbourn Elementary,N/A
600405,Harding University High,30.7
240344,Evergreen Elementary,N/A
240352,Guideway Elementary,78.1
240354,Hallsboro-Artesia Elementary,66.1
240356,Hallsboro Middle,41.9
240368,Nakina Middle,56.3
240370,Old Dock Elementary,40.4
240371,South Columbus High,54.5
240372,Tabor City Elementary,N/A
240373,CCCA - Fair Bluff /Southeastern Campuses,N/A
240376,Tabor City Middle,N/A
240380,West Columbus High,N/A
240388,Williams Township,63
241304,Central Middle,64.7
241308,Edgewood Elementary,60.8
241312,North Whiteville Academy,N/A
241316,Whiteville High,N/A
241320,Whiteville Primary,N/A
250304,Albert H Bangert Elementary,76.5
250306,Ben D Quinn Elementary,N/A
250308,Bridgeton Elementary,46.9
250312,Brinson Memorial Elementary,43.9
250314,Craven Early College High,N/A
250316,Creekside Elementary,70.7
250320,Vanceboro-Farm Life Elementary,34
250321,Early College EAST High,N/A
250324,Grover C Fields Middle,52.8
250328,Graham A Barden Elementary,N/A
250332,H J MacDonald Middle,39
250336,Havelock Elementary,57.4
250340,Havelock High,65.1
250344,Havelock Middle,53.7
250348,J T Barber Elementary,N/A
250350,James W Smith Elementary,35
250356,New Bern High,58.2
250360,Oaks Road Academy,26.4
250362,Roger Bell New Tech Academy,60
250364,Trent Park Elementary,42.5
250368,Tucker Creek Middle,67.3
250376,West Craven Middle,32.3
250378,W Jesse Gurganus Elementary,81.3
250380,Arthur W Edwards Elementary,58.9
260302,Alma O Easom Elementary,N/A
260306,Armstrong Elementary,70
260308,Ashley Elementary,58.3
260310,Loyd E Auman Elementary,41.1
260312,Beaver Dam Elementary,N/A
260316,Lillian Black Elementary,36.7
260318,Jack Britt High,64.1
260320,Brentwood Elementary,65
260321,Douglas Byrd Middle,42
260325,Cape Fear High,60.9
260326,Elizabeth M Cashwell Elementary,64.3
260332,Eastover-Central Elementary,93.8
260336,Anne Chesnutt Middle,48.2
260338,Cliffdale Elementary,44.3
260340,College Lakes Elementary,N/A
260342,C Wayne Collier Elementary,45.6
260344,J W Coon Elementary,N/A
260347,Cumberland International Early College,N/A
260348,Cumberland Mills Elementary,58
260352,Cumberland Road Elementary,54.5
