code,name,county,city,full_address,Longitude,Latitude,district,region,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
800360,Hurley Elementary,Rowan,Salisbury,"625 Hurley School Rd, Salisbury, NC 28147",-80.55868,35.6995689,Rowan-Salisbury Schools,Southwest,Y,53.5,F,Met,25.1,
830320,I E Johnson Elementary,Scotland,Laurinburg,"815 McGirts Bridge Road, Laurinburg, NC 28352",-79.445688,34.7821424,Scotland County Schools,Sandhills,Y,93.2,D,Met,37.8,
340400,Ibraham Elementary,Forsyth,Winston Salem,"5036 Old Walkertown, Winston Salem, NC 27105",-80.2008123,36.1593968,Forsyth County Schools,Piedmont-Triad,Y,69.2,F,Not Met,23.2,
74B000,Ignite Innovation Academy - Pitt,Pitt,Greenville,"901 Staton Rd, Suite 204, Greenville, NC 27834",-77.3517483,35.652919,Charter Schools,Northeast,Y,47.8,F,Not Met,18.6,
60Q000,Invest Collegiate Transform,Mecklenburg,Charlotte,"2045 Suttle Ave, Charlotte, NC 28208",-80.8710736,35.2254646,Charter Schools,Southwest,Y,49.6,D,Met,35.8,
49G000,Iredell Charter Academy,Iredell,Troutman,"251 Home Improvement Street, Troutman, NC 28166",-80.85152,35.6692536,Charter Schools,Southwest,Y,36.1,D,Not Met,43.3,
800358,Isenberg Elementary,Rowan,Salisbury,"2800 Jake Alexander Blvd N, Salisbury, NC 28147",-80.5037595,35.7011501,Rowan-Salisbury Schools,Southwest,Y,56.6,D,Exceeded,42.2,
600478,J H Gunn Elementary,Mecklenburg,Charlotte,"7400 Harrisburg Rd, Charlotte, NC 28215",-80.6854883,35.2159386,Charlotte-Mecklenburg Schools,Southwest,Y,48.5,D,Not Met,42.4,
600305,J M Alexander Middle,Mecklenburg,Huntersville,"12010 Hambright Rd, Huntersville, NC 28078",-80.8382067,35.3761224,Charlotte-Mecklenburg Schools,Southwest,N,52.4,D,Not Met,48.5,
250348,J T Barber Elementary,Craven,New Bern,"1700 Cobb Street, New Bern, NC 28560",-77.0638683,35.1194548,Craven County Schools,Southeast,Y,87.6,D,Met,27.7,
640334,J W Parker Middle,Nash,Rocky Mount,"1500 East Virginia Street, Rocky Mount, NC 27801",-77.773995,35.9516228,Nash-Rocky Mount Schools,North Central,Y,77.4,F,Not Met,22,
410415,Jackson Middle,Guilford,Greensboro,"2200 Ontario Street, Greensboro, NC 27403",-79.8275254,36.0479436,Guilford County Schools,Piedmont-Triad,Y,66.4,D,Met,36.4,
320338,James E Shepard Middle,Durham,Durham,"2401 Dakota Street, Durham, NC 27707",-78.8997755,35.9654408,Durham Public Schools,North Central,Y,80.8,D,Not Met,33,
230346,James Love Elementary,Cleveland,Shelby,"309 James Love Road, Shelby, NC 28152",-81.5673132,35.2652188,Cleveland County Schools,Southwest,Y,74.6,D,Met,45.5,
600428,James Martin Middle,Mecklenburg,Charlotte,"6301 University Pointe Blvd, Charlotte, NC 28262",-80.7626043,35.2977496,Charlotte-Mecklenburg Schools,Southwest,Y,42.5,F,Not Met,32.9,
780329,Janie C Hargrave Elem,Robeson,Lumberton,"100 Hargrave St, Lumberton, NC 28358",-78.9877348,34.6142796,Robeson County Schools,Sandhills,Y,88.5,D,Met,35.3,
110372,Johnston Elementary,Buncombe,Asheville,"230 Johnston Boulevard, Asheville, NC 28806",-82.6198369,35.5866295,Buncombe County Schools,Western,Y,56.3,F,Not Met,30.7,
862310,Jones Intermediate,Surry,Mount Airy,"2170 Riverside Drive, Mount Airy, NC 27030",-80.58758,36.527713,Mount Airy City Schools,Piedmont-Triad,Y,64.1,D,Not Met,49.9,
600432,Joseph W Grier Academy,Mecklenburg,Charlotte,"8330 Grier Rd, Charlotte, NC 28215",-80.7255165,35.2678122,Charlotte-Mecklenburg Schools,Southwest,Y,44.9,D,Not Met,50.4,
410373,Julius I Foust Elementary,Guilford,Greensboro,"2610 Floyd Street, Greensboro, NC 27406",-79.8092312,36.0372463,Guilford County Schools,Piedmont-Triad,Y,67.2,D,Met,38.4,
13D000,Kannapolis Charter Academy,Cabarrus,Kannapolis,"1911 Concord Lake Road, Kannapolis, NC 28083",-80.5991251,35.4595013,Charter Schools,Southwest,Y,50.1,D,Not Met,42.7,
132330,Kannapolis Middle,Cabarrus,Kannapolis,"1445 Oakwood Avenue, Kannapolis, NC 28081",-80.6387447,35.467353,Kannapolis City Schools,Southwest,N,39.7,D,Not Met,44.4,
340424,Kimberley Park Elementary,Forsyth,Winston Salem,"1700 Old Cherry Street, Winston Salem, NC 27105",-80.2538252,36.1161093,Forsyth County Schools,Piedmont-Triad,Y,79.3,F,Met,16.1,
540315,Kinston High,Lenoir,Kinston,"2601 N Queen St, Kinston, NC 28501",-77.575268,35.2956029,Lenoir County Public Schools,Southeast,Y,86,D,Not Met,27.1,82
60L000,KIPP Charlotte,Mecklenburg,Charlotte,"931 Wilann Dr, Charlotte, NC 28215",-80.7660367,35.2503843,Charter Schools,Southwest,Y,55.8,D,Not Met,31.7,
32S000,KIPP Durham College Preparatory,Durham,Durham,"1107 Holloway Street, Durham, NC 27701",-78.8811772,35.9948357,Charter Schools,North Central,Y,70.1,D,Exceeded,35.8,
42A000,KIPP Halifax College Prep,Halifax,Halifax,"9986 Hwy 903, Halifax, NC 27839",-77.6812959,36.3675464,Charter Schools,Northeast,Y,61.2,D,Met,44.4,
410439,Kirkman Park Elementary,Guilford,High Point,"1101 North Centennial Street, High Point, NC 27262",-80.003043,35.973671,Guilford County Schools,Piedmont-Triad,Y,74.5,D,Met,30.7,
800362,Knollwood Elementary,Rowan,Salisbury,"3075 Shue Rd, Salisbury, NC 28147",-80.57549,35.615963,Rowan-Salisbury Schools,Southwest,Y,37,D,Met,39.3,
800363,Knox Middle,Rowan,Salisbury,"1625 Park Rd W, Salisbury, NC 28144",-80.4774078,35.6861006,Rowan-Salisbury Schools,Southwest,Y,53.6,F,Not Met,18.2,
340428,Konnoak Elementary,Forsyth,Winston Salem,"3200 Renon Road, Winston Salem, NC 27127",-80.2473786,36.0513064,Forsyth County Schools,Piedmont-Triad,Y,58.7,D,Exceeded,41.6,
800346,Koontz Elementary,Rowan,Salisbury,"685 East Ritchie Rd, Salisbury, NC 28146",-80.4963121,35.6241264,Rowan-Salisbury Schools,Southwest,Y,71.2,F,Not Met,15.9,
780330,L Gilbert Carroll Middle,Robeson,Lumberton,"300 Bailey Rd, Lumberton, NC 28358",-79.0091165,34.6591822,Robeson County Schools,Sandhills,Y,81.6,D,Not Met,43.4,
920474,Lake Myra Elementary,Wake,Wendell,"1300 Elk Falls Rd, Wendell, NC 27591",-78.429716,35.7614329,Wake County Schools,North Central,Y,50.2,D,Not Met,51.1,
260407,Lake Rim Elementary,Cumberland,Fayetteville,"1455 Hoke Loop Road, Fayetteville, NC 28314",-79.0765981,35.0494197,Cumberland County Schools,Sandhills,Y,50,D,Not Met,45.8,
740368,Lakeforest Elementary,Pitt,Greenville,"3300 Briarcliff Drive, Greenville, NC 27834",-77.4209273,35.5921482,Pitt County Schools,Northeast,Y,74.4,D,Not Met,43.2,
830328,Laurel Hill Elementary,Scotland,Laurel Hill,"11340 Old Wire Road, Laurel Hill, NC 28351",-79.5203159,34.82265,Scotland County Schools,Sandhills,Y,77.9,D,Not Met,47.2,
790344,Leaksville-Spray Elementary,Rockingham,Eden,"415 Highland Dr, Eden, NC 27288",-79.7581248,36.4926704,Rockingham County Schools,Piedmont-Triad,Y,62.8,D,Not Met,48.7,
100316,Leland Middle,Brunswick,Leland,"927 Old Fayetteville Road NE, Leland, NC 28451",-78.033794,34.23541,Brunswick County Schools,Southeast,Y,69.4,D,Not Met,51.3,
260372,Lewis Chapel Middle,Cumberland,Fayetteville,"2150 Skibo Road, Fayetteville, NC 28314",-78.97641,35.0485426,Cumberland County Schools,Sandhills,Y,74.4,D,Not Met,36.1,
291332,Lexington Middle School,Davidson,Lexington,"100 W Hemstead Street, Lexington, NC 27292",-80.2456206,35.8335432,Lexington City Schools,Piedmont-Triad,Y,60.9,D,Exceeded,43.3,
292316,Liberty Drive Elementary,Davidson,Thomasville,"401 Liberty Drive, Thomasville, NC 27360",-80.064539,35.878658,Thomasville City Schools,Piedmont-Triad,Y,60.2,D,Not Met,29.8,
760332,Liberty Elementary,Randolph,Liberty,"206 N Fayetteville St, Liberty, NC 27298",-79.570385,35.855369,Randolph County Schools,Piedmont-Triad,Y,66.1,D,Met,39.4,
360438,Lingerfeldt Elementary,Gaston,Gastonia,"1601 Madison Street, Gastonia, NC 28052",-81.1923648,35.2407278,Gaston County Schools,Southwest,Y,72.8,D,Met,29.8,
780336,Littlefield Middle,Robeson,Lumberton,"9674 NC Hwy 41 N, Lumberton, NC 28358",-78.9170282,34.6453036,Robeson County Schools,Sandhills,Y,74.5,D,Not Met,46,
920480,Lockhart Elementary,Wake,Knightdale,"1320 N Smithfield Rd, Knightdale, NC 27545",-78.484564,35.8032619,Wake County Schools,North Central,Y,63.4,D,Not Met,45.3,
